数据集标识,风场名称,数据粒度,数据数量,所属数据集,Onshore/Offshore,位置（纬度，经度）,基座海拔,气候类型,气候特点,风机型号,参数性质,机组总数,风场额定功率_MW,额定功率计算式_MW,容量计算精度,参考机型数,叶轮直径_m,叶轮直径_规格数,叶轮直径_各规格机组数,叶片长_m,叶片长_规格数,叶片长_各规格机组数,轮毂高_m,轮毂高_规格数,轮毂高_各规格机组数
NREL_WTK_site44404_Utah-Wayne_class1_2MW_2007-2013,Utah-Wayne_class1,15 min,245472,NREL WTK,Onshore,"38.180981, -111.455963",N/A (site elevation unavailable); hub height 100 m agl,Subarctic climate,"Cool summers (15-20 degC), extremely cold winters (-20 to -8 degC). Precipitation 400-700 mm/year, mostly as snow. Long winter season with persistent high wind speeds driven by polar and Arctic air masses. Short summer with moderate winds. Significant icing risk Nov-Apr. Orographic acceleration over mountain terrain critical for viable wind resource. Wind resource excellent at exposed ridge-top sites.",Siemens SWT-3.0-101; Gamesa G80-2.0; Nordex N90 HS; Vestas V90-3.0,虚拟机组及拟合参考机型,1,2.0,1×2,按表中机组数,4,80; 90; 101,3,参考机型，未分配机组数,≈39; ≈43.8; 44; 49,4,参考机型，未分配机组数,100,1,100 m: 1台
NREL_WTK_site4477_Louisiana-Plaquemines_class2_16MW_2007-2013,Louisiana-Plaquemines_class2,15 min,149749,NREL WTK,Onshore,"29.108471, -89.213989",N/A (site elevation unavailable); hub height 100 m agl,Humid subtropical climate,"Hot, humid summers (25-32 degC) and mild winters (5-12 degC). Precipitation 1000-1500 mm/year evenly distributed. Mid-latitude westerlies dominate; wind speeds peak in winter (extratropical cyclones), drop markedly in summer (subtropical high). Moderate diurnal wind variation. Occasional tropical cyclone landfalls produce short-duration extreme winds. Wind resource strongly seasonal: highest Nov-Apr, lowest Jun-Sep.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site48642_Nevada-Lincoln_class2_14MW_2007-2013,Nevada-Lincoln_class2,15 min,124373,NREL WTK,Onshore,"38.446606, -114.371292",N/A (site elevation unavailable); hub height 100 m agl,Cold semi-arid climate,"Semi-arid continental: hot summers (28-35 degC), cold winters (-5 to 5 degC). Precipitation 250-500 mm/year. Large diurnal temperature range (15-20 degC). Broad, open, low-roughness terrain combined with frequent mid-latitude cyclone passages yields consistently high year-round wind speeds — among the richest onshore wind resource regions globally. Wind speeds peak Mar-May; occasional summer thunderstorm downbursts; low icing risk.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,7,14.0,7×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 7台
NREL_WTK_site48998_WestVirginia-Randolph_class3_10MW_2007-2013,WestVirginia-Randolph_class3,15 min,44843,NREL WTK,Onshore,"38.86591, -79.741638",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, warm summer","Warm summers (18-24 degC), severely cold winters (-15 to -5 degC). Precipitation 600-1000 mm/year with significant snowfall. Winter polar air masses and Alberta Clippers produce frequent high-wind events. Orographic lifting over elevated terrain enhances local wind speeds above free-stream values. Wind resource peaks Nov-Mar; summer wind speeds are substantially lower. Moderate icing risk at turbine hub height in winter.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,5,10.0,5×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 5台
NREL_WTK_site49033_Utah-Millard_class2_10MW_2007-2013,Utah-Millard_class2,15 min,197135,NREL WTK,Onshore,"38.60178, -113.931961",N/A (site elevation unavailable); hub height 100 m agl,Cold semi-arid climate,"Semi-arid continental: hot summers (28-35 degC), cold winters (-5 to 5 degC). Precipitation 250-500 mm/year. Large diurnal temperature range (15-20 degC). Broad, open, low-roughness terrain combined with frequent mid-latitude cyclone passages yields consistently high year-round wind speeds — among the richest onshore wind resource regions globally. Wind speeds peak Mar-May; occasional summer thunderstorm downbursts; low icing risk.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,5,10.0,5×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 5台
NREL_WTK_site50527_WestVirginia-Grant_class1_4MW_2007-2013,WestVirginia-Grant_class1,15 min,167303,NREL WTK,Onshore,"39.040905, -79.305725",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, warm summer","Warm summers (18-24 degC), severely cold winters (-15 to -5 degC). Precipitation 600-1000 mm/year with significant snowfall. Winter polar air masses and Alberta Clippers produce frequent high-wind events. Orographic lifting over elevated terrain enhances local wind speeds above free-stream values. Wind resource peaks Nov-Mar; summer wind speeds are substantially lower. Moderate icing risk at turbine hub height in winter.",Siemens SWT-3.0-101; Gamesa G80-2.0; Nordex N90 HS; Vestas V90-3.0,虚拟机组及拟合参考机型,2,4.0,2×2,按表中机组数,4,80; 90; 101,3,参考机型，未分配机组数,≈39; ≈43.8; 44; 49,4,参考机型，未分配机组数,100,1,100 m: 2台
NREL_WTK_site51774_Missouri-Putnam_class3_12MW_2007-2013,Missouri-Putnam_class3,15 min,140301,NREL WTK,Onshore,"40.495354, -93.010345",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, hot summer","Four distinct seasons: warm summers (22-28 degC), cold winters (-8 to 0 degC). Precipitation 700-1100 mm/year. Winter polar air masses and extratropical cyclones drive high wind speeds with frequent storm events. Summer convective activity produces thunderstorm downbursts. Wind resource richest Oct-Apr, lowest Jun-Aug. Considerable interannual variability tied to polar jet stream position.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,6,12.0,6×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 6台
NREL_WTK_site51833_Indiana-Boone_class3_16MW_2007-2013,Indiana-Boone_class3,15 min,156801,NREL WTK,Onshore,"40.094769, -86.36557",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, hot summer","Four distinct seasons: warm summers (22-28 degC), cold winters (-8 to 0 degC). Precipitation 700-1100 mm/year. Winter polar air masses and extratropical cyclones drive high wind speeds with frequent storm events. Summer convective activity produces thunderstorm downbursts. Wind resource richest Oct-Apr, lowest Jun-Aug. Considerable interannual variability tied to polar jet stream position.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site54272_Maryland-Garrett_class2_16MW_2007-2013,Maryland-Garrett_class2,15 min,117881,NREL WTK,Onshore,"39.428959, -79.248413",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, warm summer","Warm summers (18-24 degC), severely cold winters (-15 to -5 degC). Precipitation 600-1000 mm/year with significant snowfall. Winter polar air masses and Alberta Clippers produce frequent high-wind events. Orographic lifting over elevated terrain enhances local wind speeds above free-stream values. Wind resource peaks Nov-Mar; summer wind speeds are substantially lower. Moderate icing risk at turbine hub height in winter.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site55701_Delaware-Sussex_class3_16MW_2007-2013,Delaware-Sussex_class3,15 min,183367,NREL WTK,Onshore,"38.843746, -75.355103",N/A (site elevation unavailable); hub height 100 m agl,Humid subtropical climate,"Hot, humid summers (25-32 degC) and mild winters (5-12 degC). Precipitation 1000-1500 mm/year evenly distributed. Mid-latitude westerlies dominate; wind speeds peak in winter (extratropical cyclones), drop markedly in summer (subtropical high). Moderate diurnal wind variation. Occasional tropical cyclone landfalls produce short-duration extreme winds. Wind resource strongly seasonal: highest Nov-Apr, lowest Jun-Sep.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site58040_Maryland-Garrett_class1_2MW_2007-2013,Maryland-Garrett_class1,15 min,164992,NREL WTK,Onshore,"39.716179, -78.922668",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, warm summer","Warm summers (18-24 degC), severely cold winters (-15 to -5 degC). Precipitation 600-1000 mm/year with significant snowfall. Winter polar air masses and Alberta Clippers produce frequent high-wind events. Orographic lifting over elevated terrain enhances local wind speeds above free-stream values. Wind resource peaks Nov-Mar; summer wind speeds are substantially lower. Moderate icing risk at turbine hub height in winter.",Siemens SWT-3.0-101; Gamesa G80-2.0; Nordex N90 HS; Vestas V90-3.0,虚拟机组及拟合参考机型,1,2.0,1×2,按表中机组数,4,80; 90; 101,3,参考机型，未分配机组数,≈39; ≈43.8; 44; 49,4,参考机型，未分配机组数,100,1,100 m: 1台
NREL_WTK_site58_Offshore-Gulf-TX_offshore_16MW_2007-2013,Offshore-Gulf-TX_offshore,15 min,171028,NREL WTK,Offshore,"25.317467, -97.332001",N/A (site elevation unavailable); hub height 100 m agl,Hot semi-arid climate,"Hot and dry with sparse seasonal rainfall (250-500 mm/year). Hot dry summers, mild winters. Brief rainy season. Moderate wind resource with strong diurnal cycle; sea-breeze influence significant in coastal zones. Hurricane risk in Gulf of Mexico.",Siemens SWT-3.6-107; GE 4.1-113; REpower 6M,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,107; 113; 126,3,参考机型，未分配机组数,52; ≈55; 61.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site62251_Pennsylvania-Somerset_class1_10MW_2007-2013,Pennsylvania-Somerset_class1,15 min,245472,NREL WTK,Onshore,"40.052448, -78.777924",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, warm summer","Warm summers (18-24 degC), severely cold winters (-15 to -5 degC). Precipitation 600-1000 mm/year with significant snowfall. Winter polar air masses and Alberta Clippers produce frequent high-wind events. Orographic lifting over elevated terrain enhances local wind speeds above free-stream values. Wind resource peaks Nov-Mar; summer wind speeds are substantially lower. Moderate icing risk at turbine hub height in winter.",Siemens SWT-3.0-101; Gamesa G80-2.0; Nordex N90 HS; Vestas V90-3.0,虚拟机组及拟合参考机型,5,10.0,5×2,按表中机组数,4,80; 90; 101,3,参考机型，未分配机组数,≈39; ≈43.8; 44; 49,4,参考机型，未分配机组数,100,1,100 m: 5台
NREL_WTK_site65866_Nebraska-Banner_class1_12MW_2007-2013,Nebraska-Banner_class1,15 min,166926,NREL WTK,Onshore,"41.512772, -103.592041",N/A (site elevation unavailable); hub height 100 m agl,Cold semi-arid climate,"Semi-arid continental: hot summers (28-35 degC), cold winters (-5 to 5 degC). Precipitation 250-500 mm/year. Large diurnal temperature range (15-20 degC). Broad, open, low-roughness terrain combined with frequent mid-latitude cyclone passages yields consistently high year-round wind speeds — among the richest onshore wind resource regions globally. Wind speeds peak Mar-May; occasional summer thunderstorm downbursts; low icing risk.",Siemens SWT-3.0-101; Gamesa G80-2.0; Nordex N90 HS; Vestas V90-3.0,虚拟机组及拟合参考机型,6,12.0,6×2,按表中机组数,4,80; 90; 101,3,参考机型，未分配机组数,≈39; ≈43.8; 44; 49,4,参考机型，未分配机组数,100,1,100 m: 6台
NREL_WTK_site66923_Iowa-Audubon_class2_16MW_2007-2013,Iowa-Audubon_class2,15 min,157995,NREL WTK,Onshore,"41.852619, -95.089111",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, hot summer","Four distinct seasons: warm summers (22-28 degC), cold winters (-8 to 0 degC). Precipitation 700-1100 mm/year. Winter polar air masses and extratropical cyclones drive high wind speeds with frequent storm events. Summer convective activity produces thunderstorm downbursts. Wind resource richest Oct-Apr, lowest Jun-Aug. Considerable interannual variability tied to polar jet stream position.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site67407_Nebraska-Hooker_class2_16MW_2007-2013,Nebraska-Hooker_class2,15 min,136207,NREL WTK,Onshore,"41.774906, -101.050232",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, hot summer","Four distinct seasons: warm summers (22-28 degC), cold winters (-8 to 0 degC). Precipitation 700-1100 mm/year. Winter polar air masses and extratropical cyclones drive high wind speeds with frequent storm events. Summer convective activity produces thunderstorm downbursts. Wind resource richest Oct-Apr, lowest Jun-Aug. Considerable interannual variability tied to polar jet stream position.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site67639_Wyoming-Laramie_class1_10MW_2007-2013,Wyoming-Laramie_class1,15 min,216021,NREL WTK,Onshore,"41.515606, -105.214325",N/A (site elevation unavailable); hub height 100 m agl,Cold semi-arid climate,"Semi-arid continental: hot summers (28-35 degC), cold winters (-5 to 5 degC). Precipitation 250-500 mm/year. Large diurnal temperature range (15-20 degC). Broad, open, low-roughness terrain combined with frequent mid-latitude cyclone passages yields consistently high year-round wind speeds — among the richest onshore wind resource regions globally. Wind speeds peak Mar-May; occasional summer thunderstorm downbursts; low icing risk.",Siemens SWT-3.0-101; Gamesa G80-2.0; Nordex N90 HS; Vestas V90-3.0,虚拟机组及拟合参考机型,5,10.0,5×2,按表中机组数,4,80; 90; 101,3,参考机型，未分配机组数,≈39; ≈43.8; 44; 49,4,参考机型，未分配机组数,100,1,100 m: 5台
NREL_WTK_site67857_Ohio-Columbiana_class3_16MW_2007-2013,Ohio-Columbiana_class3,15 min,131369,NREL WTK,Onshore,"40.859097, -81.050537",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, hot summer","Four distinct seasons: warm summers (22-28 degC), cold winters (-8 to 0 degC). Precipitation 700-1100 mm/year. Winter polar air masses and extratropical cyclones drive high wind speeds with frequent storm events. Summer convective activity produces thunderstorm downbursts. Wind resource richest Oct-Apr, lowest Jun-Aug. Considerable interannual variability tied to polar jet stream position.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site69733_NewJersey-Ocean_class2_6MW_2007-2013,NewJersey-Ocean_class2,15 min,205837,NREL WTK,Onshore,"39.773884, -74.21051",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, hot summer","Four distinct seasons: warm summers (22-28 degC), cold winters (-8 to 0 degC). Precipitation 700-1100 mm/year. Winter polar air masses and extratropical cyclones drive high wind speeds with frequent storm events. Summer convective activity produces thunderstorm downbursts. Wind resource richest Oct-Apr, lowest Jun-Aug. Considerable interannual variability tied to polar jet stream position.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,3,6.0,3×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 3台
NREL_WTK_site73739_Wyoming-Albany_class1_16MW_2007-2013,Wyoming-Albany_class1,15 min,243327,NREL WTK,Onshore,"41.950932, -105.584061",N/A (site elevation unavailable); hub height 100 m agl,Cold semi-arid climate,"Semi-arid continental: hot summers (28-35 degC), cold winters (-5 to 5 degC). Precipitation 250-500 mm/year. Large diurnal temperature range (15-20 degC). Broad, open, low-roughness terrain combined with frequent mid-latitude cyclone passages yields consistently high year-round wind speeds — among the richest onshore wind resource regions globally. Wind speeds peak Mar-May; occasional summer thunderstorm downbursts; low icing risk.",Siemens SWT-3.0-101; Gamesa G80-2.0; Nordex N90 HS; Vestas V90-3.0,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,80; 90; 101,3,参考机型，未分配机组数,≈39; ≈43.8; 44; 49,4,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site77482_Illinois-McHenry_class2_16MW_2007-2013,Illinois-McHenry_class2,15 min,161122,NREL WTK,Onshore,"42.47591, -88.562378",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, hot summer","Four distinct seasons: warm summers (22-28 degC), cold winters (-8 to 0 degC). Precipitation 700-1100 mm/year. Winter polar air masses and extratropical cyclones drive high wind speeds with frequent storm events. Summer convective activity produces thunderstorm downbursts. Wind resource richest Oct-Apr, lowest Jun-Aug. Considerable interannual variability tied to polar jet stream position.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site78083_Wyoming-Carbon_class1_16MW_2007-2013,Wyoming-Carbon_class1,15 min,245472,NREL WTK,Onshore,"42.27528, -106.523483",N/A (site elevation unavailable); hub height 100 m agl,Cold semi-arid climate,"Semi-arid continental: hot summers (28-35 degC), cold winters (-5 to 5 degC). Precipitation 250-500 mm/year. Large diurnal temperature range (15-20 degC). Broad, open, low-roughness terrain combined with frequent mid-latitude cyclone passages yields consistently high year-round wind speeds — among the richest onshore wind resource regions globally. Wind speeds peak Mar-May; occasional summer thunderstorm downbursts; low icing risk.",Siemens SWT-3.0-101; Gamesa G80-2.0; Nordex N90 HS; Vestas V90-3.0,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,80; 90; 101,3,参考机型，未分配机组数,≈39; ≈43.8; 44; 49,4,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site80743_Offshore-LakeErie-OH_offshore_16MW_2007-2013,Offshore-LakeErie-OH_offshore,15 min,170338,NREL WTK,Offshore,"42.073616, -81.633057",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, hot summer","Four distinct seasons: warm summers (22-28 degC), cold winters (-8 to 0 degC). Precipitation 700-1100 mm/year. Winter polar air masses and extratropical cyclones drive high wind speeds with frequent storm events. Summer convective activity produces thunderstorm downbursts. Wind resource richest Oct-Apr, lowest Jun-Aug. Considerable interannual variability tied to polar jet stream position.",Siemens SWT-3.6-107; GE 4.1-113; REpower 6M,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,107; 113; 126,3,参考机型，未分配机组数,52; ≈55; 61.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site80793_Wyoming-Fremont_class2_16MW_2007-2013,Wyoming-Fremont_class2,15 min,245472,NREL WTK,Onshore,"42.301643, -108.713684",N/A (site elevation unavailable); hub height 100 m agl,Cold semi-arid climate,"Semi-arid continental: hot summers (28-35 degC), cold winters (-5 to 5 degC). Precipitation 250-500 mm/year. Large diurnal temperature range (15-20 degC). Broad, open, low-roughness terrain combined with frequent mid-latitude cyclone passages yields consistently high year-round wind speeds — among the richest onshore wind resource regions globally. Wind speeds peak Mar-May; occasional summer thunderstorm downbursts; low icing risk.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site8095_Texas-Pecos_class1_12MW_2007-2013,Texas-Pecos_class1,15 min,146390,NREL WTK,Onshore,"30.779396, -102.38266",N/A (site elevation unavailable); hub height 100 m agl,Hot semi-arid climate,"Hot and dry with sparse seasonal rainfall (250-500 mm/year). Hot dry summers, mild winters. Brief rainy season. Moderate wind resource with strong diurnal cycle; sea-breeze influence significant in coastal zones. Hurricane risk in Gulf of Mexico.",Siemens SWT-3.0-101; Gamesa G80-2.0; Nordex N90 HS; Vestas V90-3.0,虚拟机组及拟合参考机型,6,12.0,6×2,按表中机组数,4,80; 90; 101,3,参考机型，未分配机组数,≈39; ≈43.8; 44; 49,4,参考机型，未分配机组数,100,1,100 m: 6台
NREL_WTK_site8181_Texas-Pecos_class2_16MW_2007-2013,Texas-Pecos_class2,15 min,245472,NREL WTK,Onshore,"30.83231, -102.134521",N/A (site elevation unavailable); hub height 100 m agl,Hot semi-arid climate,"Hot and dry with sparse seasonal rainfall (250-500 mm/year). Hot dry summers, mild winters. Brief rainy season. Moderate wind resource with strong diurnal cycle; sea-breeze influence significant in coastal zones. Hurricane risk in Gulf of Mexico.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site81893_Offshore-LakeErie_offshore_16MW_2007-2013,Offshore-LakeErie_offshore,15 min,128470,NREL WTK,Offshore,"42.188225, -81.783508",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, hot summer","Four distinct seasons: warm summers (22-28 degC), cold winters (-8 to 0 degC). Precipitation 700-1100 mm/year. Winter polar air masses and extratropical cyclones drive high wind speeds with frequent storm events. Summer convective activity produces thunderstorm downbursts. Wind resource richest Oct-Apr, lowest Jun-Aug. Considerable interannual variability tied to polar jet stream position.",Siemens SWT-3.6-107; GE 4.1-113; REpower 6M,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,107; 113; 126,3,参考机型，未分配机组数,52; ≈55; 61.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site82617_Pennsylvania-McKean_class3_16MW_2007-2013,Pennsylvania-McKean_class3,15 min,131654,NREL WTK,Onshore,"41.764473, -78.556396",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, warm summer","Warm summers (18-24 degC), severely cold winters (-15 to -5 degC). Precipitation 600-1000 mm/year with significant snowfall. Winter polar air masses and Alberta Clippers produce frequent high-wind events. Orographic lifting over elevated terrain enhances local wind speeds above free-stream values. Wind resource peaks Nov-Mar; summer wind speeds are substantially lower. Moderate icing risk at turbine hub height in winter.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site89648_Connecticut-Fairfield_class3_6MW_2007-2013,Connecticut-Fairfield_class3,15 min,133302,NREL WTK,Onshore,"41.324596, -73.530121",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, hot summer","Four distinct seasons: warm summers (22-28 degC), cold winters (-8 to 0 degC). Precipitation 700-1100 mm/year. Winter polar air masses and extratropical cyclones drive high wind speeds with frequent storm events. Summer convective activity produces thunderstorm downbursts. Wind resource richest Oct-Apr, lowest Jun-Aug. Considerable interannual variability tied to polar jet stream position.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,3,6.0,3×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 3台
NREL_WTK_site90195_Wyoming-Fremont_class1_14MW_2007-2013,Wyoming-Fremont_class1,15 min,243007,NREL WTK,Onshore,"42.942017, -109.18869",N/A (site elevation unavailable); hub height 100 m agl,Subarctic climate,"Cool summers (15-20 degC), extremely cold winters (-20 to -8 degC). Precipitation 400-700 mm/year, mostly as snow. Long winter season with persistent high wind speeds driven by polar and Arctic air masses. Short summer with moderate winds. Significant icing risk Nov-Apr. Orographic acceleration over mountain terrain critical for viable wind resource. Wind resource excellent at exposed ridge-top sites.",Siemens SWT-3.0-101; Gamesa G80-2.0; Nordex N90 HS; Vestas V90-3.0,虚拟机组及拟合参考机型,7,14.0,7×2,按表中机组数,4,80; 90; 101,3,参考机型，未分配机组数,≈39; ≈43.8; 44; 49,4,参考机型，未分配机组数,100,1,100 m: 7台
NREL_WTK_site90762_Wisconsin-Washington_class3_10MW_2007-2013,Wisconsin-Washington_class3,15 min,206121,NREL WTK,Onshore,"43.506351, -88.326813",N/A (site elevation unavailable); hub height 100 m agl,"Humid continental climate, warm summer","Warm summers (18-24 degC), severely cold winters (-15 to -5 degC). Precipitation 600-1000 mm/year with significant snowfall. Winter polar air masses and Alberta Clippers produce frequent high-wind events. Orographic lifting over elevated terrain enhances local wind speeds above free-stream values. Wind resource peaks Nov-Mar; summer wind speeds are substantially lower. Moderate icing risk at turbine hub height in winter.",Vestas V100-1.8; GE 1.6-100; REpower 3.2M114,虚拟机组及拟合参考机型,5,10.0,5×2,按表中机组数,3,100; 114,2,参考机型，未分配机组数,48.7; ≈49; ≈55.5,3,参考机型，未分配机组数,100,1,100 m: 5台
NREL_WTK_site91916_Idaho-TwinFalls_class2_16MW_2007-2013,Idaho-TwinFalls_class2,15 min,123178,NREL WTK,Onshore,"42.29221, -114.71106",N/A (site elevation unavailable); hub height 100 m agl,Cold semi-arid climate,"Semi-arid continental: hot summers (28-35 degC), cold winters (-5 to 5 degC). Precipitation 250-500 mm/year. Large diurnal temperature range (15-20 degC). Broad, open, low-roughness terrain combined with frequent mid-latitude cyclone passages yields consistently high year-round wind speeds — among the richest onshore wind resource regions globally. Wind speeds peak Mar-May; occasional summer thunderstorm downbursts; low icing risk.",Vestas V112-3.0; Siemens SWT-2.3-93; GE 1.6-82.5; GE 2.5XL,虚拟机组及拟合参考机型,8,16.0,8×2,按表中机组数,4,82.5; 93; 100; 112,4,参考机型，未分配机组数,≈40; 45; 48.7; ≈54.6,4,参考机型，未分配机组数,100,1,100 m: 8台
NREL_WTK_site92712_Wyoming-Fremont_class1_8MW_2007-2013,Wyoming-Fremont_class1,15 min,224496,NREL WTK,Onshore,"43.159077, -109.41925",N/A (site elevation unavailable); hub height 100 m agl,Tundra climate,"Treeless tundra with permafrost. Very brief cool summer (2-3 months), extremely long polar winter. Precipitation very low (under 300 mm/year). Persistent katabatic and gradient winds produce high year-round wind speeds at exposed locations. Extreme icing risk. Wind resource excellent but development constrained by remoteness and harsh conditions.",Siemens SWT-3.0-101; Gamesa G80-2.0; Nordex N90 HS; Vestas V90-3.0,虚拟机组及拟合参考机型,4,8.0,4×2,按表中机组数,4,80; 90; 101,3,参考机型，未分配机组数,≈39; ≈43.8; 44; 49,4,参考机型，未分配机组数,100,1,100 m: 4台
